Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Country,Happiness.Rank_17,Happiness.Score_17,Family_17,Health..Life.Expectancy._17,Freedom_17,Economy..GDP.per.Capita._17
France,Western Europe,29,6.575,0.03512,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,France,31,6.441999912,1.387776852,0.844465852,0.470222116,1.430923462
Gabon,Sub-Saharan Africa,143,3.896,0.04547,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,Gabon,118,4.465000153,1.155620217,0.356578588,0.312328577,1.198210239
Georgia,Central and Eastern Europe,130,4.297,0.04221,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,Georgia,125,4.285999775,0.570614934,0.649546981,0.309410036,0.950612664
Germany,Western Europe,26,6.75,0.01848,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,Germany,16,6.951000214,1.472520351,0.798950732,0.562511384,1.487923384
Ghana,Sub-Saharan Africa,114,4.633,0.04742,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,Ghana,131,4.119999886,0.873664737,0.295637727,0.423026294,0.667224824
Greece,Western Europe,102,4.857,0.05062,1.15406,0.92933,0.88213,0.07699,0.01397,0,Greece,87,5.227000237,1.239414573,0.810198903,0.095731251,1.289487481
Guatemala,Latin America and Caribbean,43,6.123,0.05224,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,Guatemala,29,6.453999996,1.255585194,0.54023999,0.531310618,0.872001946
Guinea,Sub-Saharan Africa,150,3.656,0.0359,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,Guinea,149,3.506999969,0.791244686,0.194129139,0.348587513,0.24454993
Haiti,Latin America and Caribbean,119,4.518,0.07331,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,Haiti,145,3.602999926,0.640449822,0.27732113,0.030369857,0.368610263
Honduras,Latin America and Caribbean,105,4.788,0.05648,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,Honduras,91,5.181000233,1.143944979,0.58256948,0.34807986,0.730573118
Hong Kong,Eastern Asia,72,5.474,0.05051,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,Hong Kong,71,5.472000122,1.262790918,0.943062425,0.490968645,1.551674843
Hungary,Central and Eastern Europe,104,4.8,0.06107,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,Hungary,75,5.323999882,1.343133092,0.687763453,0.175863519,1.286011934
Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,Iceland,3,7.504000187,1.610574007,0.833552122,0.627162635,1.48063302
India,Southern Asia,117,4.565,0.02043,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,India,122,4.315000057,0.754372597,0.455427617,0.469987005,0.792221248
Indonesia,Southeastern Asia,74,5.399,0.02596,0.82827,1.08708,0.63793,0.46611,0,0.51535,Indonesia,81,5.262000084,1.274444699,0.492345721,0.443323463,0.995538592
Iran,Middle East and Northern Africa,110,4.686,0.04449,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,Iran,108,4.691999912,0.711551249,0.639333189,0.249322608,1.156873107
Iraq,Middle East and Northern Africa,112,4.677,0.05232,0.98549,0.81889,0.60237,0,0.13788,0.17922,Iraq,117,4.497000217,0.978613198,0.50118047,0.288555533,1.102710485
Ireland,Western Europe,18,6.94,0.03676,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,Ireland,15,6.977000237,1.558231115,0.809782624,0.573110342,1.535706639
Israel,Middle East and Northern Africa,11,7.278,0.0347,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,Israel,11,7.212999821,1.376289964,0.838404,0.405988604,1.375382423
Italy,Western Europe,50,5.948,0.03914,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,Italy,48,5.964000225,1.444923282,0.853144348,0.256450713,1.395066619
Ivory Coast,Sub-Saharan Africa,151,3.655,0.05141,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,Ivory Coast,128,4.179999828,0.90478003,0.04864217,0.447706193,0.603048921
Jamaica,Latin America and Caribbean,65,5.709,0.13693,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,Jamaica,76,5.31099987,1.368218064,0.641022384,0.474307239,0.925579309
Japan,Eastern Asia,46,5.987,0.03581,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,Japan,51,5.920000076,1.436337829,0.913475871,0.505625546,1.416915178
Jordan,Middle East and Northern Africa,82,5.192,0.04524,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,Jordan,74,5.335999966,1.239088893,0.604590058,0.418421149,0.991012394
Kazakhstan,Central and Eastern Europe,54,5.855,0.04114,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,Kazakhstan,60,5.818999767,1.384369016,0.606041551,0.437454283,1.28455627
Kenya,Sub-Saharan Africa,125,4.419,0.04734,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,Kenya,112,4.552999973,1.067950726,0.30998835,0.452763766,0.560479462
Kosovo,Central and Eastern Europe,69,5.589,0.05018,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,Kosovo,78,5.278999805,1.137853503,0.54145205,0.260287941,0.951484382
Kuwait,Middle East and Northern Africa,39,6.295,0.04456,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,Kuwait,39,6.105000019,1.259698749,0.632105708,0.496337593,1.632952452
Kyrgyzstan,Central and Eastern Europe,77,5.286,0.03823,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,Kyrgyzstan,98,5.004000187,1.394238591,0.553457797,0.454943389,0.596220076
Latvia,Central and Eastern Europe,89,5.098,0.0464,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,Latvia,54,5.849999905,1.404714942,0.638566971,0.325707912,1.260748625
Lebanon,Middle East and Northern Africa,103,4.839,0.04337,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,Lebanon,88,5.224999905,1.129624248,0.735081077,0.288515985,1.074987531
Lesotho,Sub-Saharan Africa,97,4.898,0.09438,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,Lesotho,139,3.808000088,1.190095186,0,0.390661299,0.521021247
Liberia,Sub-Saharan Africa,116,4.571,0.11068,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,Liberia,148,3.532999992,0.872117937,0.229918197,0.332881182,0.119041793
Libya,Middle East and Northern Africa,63,5.754,0.07832,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,Libya,68,5.525000095,1.35756433,0.52016902,0.46573323,1.101803064
Lithuania,Central and Eastern Europe,56,5.833,0.03843,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,Lithuania,52,5.90199995,1.473516107,0.62894994,0.234231785,1.314582348
Luxembourg,Western Europe,17,6.946,0.03499,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,Luxembourg,18,6.862999916,1.457583666,0.845089495,0.596627891,1.741943598
Macedonia,Central and Eastern Europe,93,5.007,0.05376,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,Macedonia,92,5.175000191,1.207893014,0.644948184,0.325905979,1.064577937
Madagascar,Sub-Saharan Africa,147,3.681,0.03633,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,Madagascar,144,3.644000053,0.913020372,0.375223309,0.189196765,0.305808693
Malawi,Sub-Saharan Africa,131,4.292,0.0613,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,Malawi,136,3.970000029,0.512568831,0.315089583,0.466914654,0.233442038
Malaysia,Southeastern Asia,61,5.77,0.0433,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,Malaysia,42,6.084000111,1.284646034,0.618784428,0.402264982,1.29121542
Mali,Sub-Saharan Africa,138,3.995,0.05602,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,Mali,127,4.190000057,1.281473398,0.169365674,0.306613743,0.476180494
Malta,Western Europe,37,6.302,0.04206,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,Malta,27,6.52699995,1.488411665,0.821944237,0.588767052,1.343279839
Mauritania,Sub-Saharan Africa,124,4.436,0.03947,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,Mauritania,123,4.291999817,1.27203083,0.28534928,0.096098043,0.648457289
Mauritius,Sub-Saharan Africa,71,5.477,0.07197,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,Mauritius,64,5.629000187,1.20956099,0.638007462,0.491247326,1.189395547
Mexico,Latin America and Caribbean,14,7.187,0.04176,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,Mexico,25,6.578000069,1.21086216,0.709978998,0.412730008,1.153183818
Moldova,Central and Eastern Europe,52,5.889,0.03799,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,Moldova,56,5.837999821,1.251825571,0.589465201,0.240729049,0.72887063
Mongolia,Eastern Asia,100,4.874,0.03313,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,Mongolia,100,4.954999924,1.493011236,0.557783484,0.394143969,1.027235866
Montenegro,Central and Eastern Europe,82,5.192,0.05235,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,Montenegro,83,5.236999989,1.238376498,0.667464674,0.194989055,1.121129036
Morocco,Middle East and Northern Africa,92,5.013,0.0342,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,Morocco,84,5.235000134,0.774864435,0.597710669,0.408158332,0.878114581
Mozambique,Sub-Saharan Africa,94,4.971,0.07896,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,Mozambique,113,4.550000191,0.870701015,0.106654435,0.480791092,0.23430565
Myanmar,Southeastern Asia,129,4.307,0.04351,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,Myanmar,114,4.545000076,1.123235941,0.397522569,0.514492035,0.36711055
Nepal,Southern Asia,121,4.514,0.03607,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,Nepal,99,4.961999893,1.179283261,0.504130781,0.440305948,0.479820192
Netherlands,Western Europe,7,7.378,0.02799,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,Netherlands,6,7.376999855,1.428939223,0.810696125,0.585384488,1.503944635
